,"ppl","age"
"1","person",56
"2","person",89
"3","person",60
"4","person",65
"5","person",64
"6","person",65
"7","person",62
"8","person",47
"9","person",69
"10","person",79
"11","person",78
"12","person",56
"13","person",74
"14","person",66
"15","person",74
"16","person",68
"17","person",62
"18","person",83
"19","person",64
"20","person",65
"21","person",55
"22","person",54
"23","person",67
"24","person",70
"25","person",74
"26","person",63
"27","person",57
"28","person",61
"29","person",62
"30","person",55
"31","person",60
"32","person",65
"33","person",67
"34","person",71
"35","person",84
"36","person",49
"37","person",67
"38","person",58
"39","person",49
"40","person",71
"41","person",71
"42","person",62
"43","person",60
"44","person",61
"45","person",69
"46","person",66
"47","person",49
"48","person",57
"49","person",63
"50","person",68
"51","person",60
"52","person",75
"53","person",59
"54","person",57
"55","person",80
"56","person",53
"57","person",64
"58","person",72
"59","person",65
"60","person",58
"61","person",58
"62","person",82
"63","person",78
"64","person",75
"65","person",73
"66","person",81
"67","person",51
"68","person",67
"69","person",69
"70","person",46
"71","person",61
"72","person",51
"73","person",83
"74","person",70
"75","person",72
"76","person",57
"77","person",67
"78","person",62
"79","person",65
"80","person",72
"81","person",69
"82","person",63
"83","person",69
"84","person",52
"85","person",46
"86","person",74
"87","person",74
"88","person",74
"89","person",55
"90","person",59
"91","person",68
"92","person",63
"93","person",63
"94","person",60
"95","person",61
"96","person",79
"97","person",67
"98","person",72
"99","person",65
"100","person",57
"101","person",70
"102","person",64
"103","person",78
"104","person",68
"105","person",65
"106","person",63
"107","person",51
"108","person",69
"109","person",50
"110","person",77
"111","person",62
"112","person",81
"113","person",93
"114","person",72
"115","person",66
"116","person",68
"117","person",67
"118","person",81
"119","person",72
"120","person",63
"121","person",58
"122","person",80
"123","person",70
"124","person",49
"125","person",70
"126","person",66
"127","person",70
"128","person",57
"129","person",53
"130","person",62
"131","person",73
"132","person",73
"133","person",67
"134","person",83
"135","person",57
"136","person",64
"137","person",46
"138","person",60
"139","person",71
"140","person",65
"141","person",74
"142","person",68
"143","person",54
"144","person",78
"145","person",81
"146","person",64
"147","person",62
"148","person",64
"149","person",49
"150","person",62
"151","person",73
"152","person",63
"153","person",75
"154","person",53
"155","person",70
"156","person",45
"157","person",69
"158","person",56
"159","person",63
"160","person",72
"161","person",39
"162","person",54
"163","person",62
"164","person",55
"165","person",65
"166","person",77
"167","person",50
"168","person",57
"169","person",71
"170","person",74
"171","person",72
"172","person",60
"173","person",46
"174","person",70
"175","person",67
"176","person",51
"177","person",72
"178","person",65
"179","person",66
"180","person",59
"181","person",81
"182","person",71
"183","person",57
"184","person",56
"185","person",69
"186","person",59
"187","person",62
"188","person",68
"189","person",50
"190","person",67
"191","person",72
"192","person",57
"193","person",62
"194","person",51
"195","person",82
"196","person",61
"197","person",79
"198","person",74
"199","person",60
"200","person",78
"201","person",69
"202","person",60
"203","person",85
"204","person",63
"205","person",70
"206","person",83
"207","person",49
"208","person",66
"209","person",93
"210","person",77
"211","person",83
"212","person",67
"213","person",80
"214","person",77
"215","person",45
"216","person",66
"217","person",73
"218","person",75
"219","person",64
"220","person",84
"221","person",52
"222","person",59
"223","person",84
"224","person",71
"225","person",70
"226","person",56
"227","person",52
"228","person",61
"229","person",67
"230","person",66
"231","person",42
"232","person",57
"233","person",86
"234","person",85
"235","person",46
"236","person",51
"237","person",77
"238","person",81
"239","person",62
"240","person",81
"241","person",41
"242","person",63
"243","person",73
"244","person",84
"245","person",78
"246","person",49
"247","person",63
"248","person",64
"249","person",54
"250","person",47
"251","person",61
"252","person",76
"253","person",71
"254","person",60
"255","person",75
"256","person",66
"257","person",51
"258","person",86
"259","person",57
"260","person",53
"261","person",75
"262","person",72
"263","person",55
"264","person",69
"265","person",71
"266","person",73
"267","person",65
"268","person",79
"269","person",67
"270","person",62
"271","person",53
"272","person",72
"273","person",70
"274","person",59
"275","person",52
"276","person",79
"277","person",70
"278","person",65
"279","person",70
"280","person",67
"281","person",56
"282","person",58
"283","person",51
"284","person",67
"285","person",55
"286","person",70
"287","person",66
"288","person",57
"289","person",45
"290","person",87
"291","person",60
"292","person",58
"293","person",81
"294","person",90
"295","person",67
"296","person",53
"297","person",66
"298","person",57
"299","person",63
"300","person",77
"301","person",67
"302","person",64
"303","person",76
"304","person",66
"305","person",70
"306","person",63
"307","person",71
"308","person",69
"309","person",68
"310","person",66
"311","person",52
"312","person",67
"313","person",69
"314","person",75
"315","person",65
"316","person",55
"317","person",59
"318","person",49
"319","person",58
"320","person",66
"321","person",78
"322","person",81
"323","person",63
"324","person",74
"325","person",58
"326","person",79
"327","person",70
"328","person",64
"329","person",71
"330","person",59
"331","person",65
"332","person",67
"333","person",55
"334","person",76
"335","person",54
"336","person",61
"337","person",64
"338","person",62
"339","person",41
"340","person",40
"341","person",71
"342","person",75
"343","person",71
"344","person",70
"345","person",42
"346","person",63
"347","person",70
"348","person",76
"349","person",64
"350","person",85
"351","person",78
"352","person",55
"353","person",76
"354","person",63
"355","person",65
"356","person",78
"357","person",70
"358","person",65
"359","person",64
"360","person",58
"361","person",68
"362","person",53
"363","person",79
"364","person",68
"365","person",67
"366","person",64
"367","person",58
"368","person",67
"369","person",62
"370","person",67
"371","person",71
"372","person",55
"373","person",56
"374","person",84
"375","person",67
"376","person",56
"377","person",79
"378","person",73
"379","person",70
"380","person",64
"381","person",50
"382","person",60
"383","person",70
"384","person",71
"385","person",79
"386","person",64
"387","person",71
"388","person",60
"389","person",68
"390","person",71
"391","person",63
"392","person",54
"393","person",48
"394","person",52
"395","person",59
"396","person",55
"397","person",59
"398","person",57
"399","person",57
"400","person",57
"401","person",69
"402","person",75
"403","person",56
"404","person",77
"405","person",64
"406","person",60
"407","person",66
"408","person",59
"409","person",58
"410","person",54
"411","person",67
"412","person",48
"413","person",79
"414","person",59
"415","person",66
"416","person",54
"417","person",47
"418","person",49
"419","person",51
"420","person",81
"421","person",58
"422","person",55
"423","person",54
"424","person",77
"425","person",58
"426","person",68
"427","person",55
"428","person",80
"429","person",51
"430","person",67
"431","person",41
"432","person",55
